# Omega_m h0 Omega_b n_s ln(10^{10}A_s) Omeganuh2 Neff w
3.535754e-01 6.372079e-01 6.417971e-02 9.300516e-01 3.521148e+00 3.578272e-03 3.344353e+00 -4.416978e-01
3.444839e-01 5.478219e-01 3.676542e-02 9.255602e-01 3.670912e+00 6.082287e-03 3.617375e+00 -6.476049e-01
3.277123e-01 6.674074e-01 5.744405e-02 9.970656e-01 3.510912e+00 2.765907e-04 2.657296e+00 -3.805071e-01
2.654326e-01 6.220621e-01 2.621767e-02 1.058952e+00 3.878933e+00 6.107482e-03 3.212237e+00 -7.524417e-01
2.831643e-01 5.193797e-01 2.972762e-02 9.933363e-01 3.818645e+00 4.163843e-03 2.283661e+00 -8.160434e-01
2.820330e-01 6.722131e-01 4.458274e-02 1.014220e+00 3.331743e+00 1.814421e-03 2.130085e+00 -9.896228e-01
3.203123e-01 7.561439e-01 6.800241e-02 9.734120e-01 3.054792e+00 7.409742e-03 2.027086e+00 -1.101615e+00
3.428213e-01 6.008116e-01 6.036827e-02 1.067739e+00 3.579054e+00 8.069222e-03 3.992758e+00 -8.392877e-01
3.190179e-01 6.144112e-01 6.559370e-02 1.022973e+00 3.791276e+00 4.152517e-03 3.365796e+00 -6.617753e-01
3.621394e-01 6.188782e-01 5.647058e-02 9.881467e-01 3.439530e+00 2.831073e-03 3.907819e+00 -4.234498e-01
3.525059e-01 6.028919e-01 6.019807e-02 9.045688e-01 3.505683e+00 6.173571e-04 2.621135e+00 -4.489931e-01
3.681893e-01 5.345984e-01 5.360216e-02 9.583886e-01 3.781699e+00 6.895007e-03 3.946620e+00 -5.165826e-01
2.235446e-01 8.493908e-01 4.999434e-02 9.477336e-01 3.476293e+00 5.198059e-03 2.370858e+00 -9.234430e-01
2.359718e-01 6.862185e-01 2.226292e-02 9.603618e-01 3.425222e+00 4.119102e-03 3.181433e+00 -1.225960e+00
2.859023e-01 7.186684e-01 4.722164e-02 9.856485e-01 3.519058e+00 6.465179e-03 2.004418e+00 -6.595123e-01
3.179169e-01 6.943677e-01 5.972044e-02 1.026374e+00 3.659347e+00 7.111983e-03 3.868928e+00 -5.195435e-01
3.573726e-01 5.900555e-01 6.249641e-02 1.020566e+00 3.508085e+00 5.023992e-03 3.360894e+00 -6.309718e-01
2.857755e-01 7.577833e-01 5.756136e-02 9.920695e-01 3.245815e+00 2.228161e-03 2.364347e+00 -9.462107e-01
2.651134e-01 8.703892e-01 5.440513e-02 9.034279e-01 3.390396e+00 2.452047e-03 2.517030e+00 -5.497816e-01
3.119218e-01 5.640402e-01 6.310660e-02 1.042890e+00 3.677863e+00 5.391812e-03 3.240387e+00 -9.948456e-01
2.686977e-01 7.106842e-01 4.253505e-02 1.020803e+00 3.193280e+00 7.375837e-03 3.604803e+00 -1.145494e+00
2.837396e-01 8.110270e-01 5.873243e-02 1.043444e+00 3.187030e+00 4.560899e-03 3.936958e+00 -9.299626e-01
2.725183e-01 8.623801e-01 5.391258e-02 9.507617e-01 3.637507e+00 6.618113e-03 2.469204e+00 -4.399707e-01
2.270821e-01 8.055079e-01 4.932648e-02 9.391484e-01 3.194075e+00 1.311713e-03 4.087993e+00 -1.114092e+00
2.943039e-01 6.670405e-01 5.505034e-02 9.434065e-01 3.681663e+00 1.836301e-03 2.117139e+00 -8.240017e-01
2.965939e-01 8.380583e-01 5.479175e-02 9.844690e-01 2.991402e+00 9.521434e-03 4.171698e+00 -1.045399e+00
2.982626e-01 8.066807e-01 5.363487e-02 1.036389e+00 3.387269e+00 8.818668e-03 2.436099e+00 -5.077007e-01
3.525849e-01 4.806039e-01 4.011517e-02 1.008398e+00 3.819945e+00 6.502076e-03 3.793313e+00 -6.070091e-01
2.850712e-01 8.343900e-01 4.464510e-02 8.832924e-01 3.029970e+00 7.284897e-03 2.849648e+00 -1.106648e+00
2.239217e-01 8.017369e-01 5.129433e-02 1.002471e+00 3.405576e+00 3.449967e-03 3.316544e+00 -1.188290e+00
2.607425e-01 7.910023e-01 6.183193e-02 1.016569e+00 3.361337e+00 2.919019e-03 2.157095e+00 -1.030894e+00
3.335124e-01 6.093986e-01 6.957968e-02 1.027628e+00 3.781610e+00 3.800421e-03 3.321565e+00 -5.957767e-01
3.207924e-01 6.020219e-01 2.947791e-02 8.554757e-01 3.456163e+00 1.222756e-04 3.523294e+00 -5.436550e-01
2.672782e-01 7.275123e-01 4.170101e-02 9.720900e-01 3.603946e+00 6.661850e-03 3.574110e+00 -7.945709e-01
3.003247e-01 8.484275e-01 6.385902e-02 9.965674e-01 3.537640e+00 6.277010e-03 2.185015e+00 -3.730012e-01
2.556003e-01 6.011485e-01 1.756030e-02 9.724204e-01 3.649756e+00 5.625262e-03 2.232518e+00 -9.417093e-01
2.468291e-01 7.867461e-01 2.826924e-02 9.252924e-01 3.184252e+00 7.521017e-03 3.302557e+00 -1.061368e+00
2.356345e-01 7.466927e-01 3.120141e-02 1.033918e+00 3.846959e+00 8.089682e-03 3.159317e+00 -9.095880e-01
2.848097e-01 8.068906e-01 5.430840e-02 9.665189e-01 3.037617e+00 3.502848e-03 2.831931e+00 -9.666572e-01
3.019024e-01 6.914143e-01 4.090425e-02 1.010080e+00 3.699420e+00 7.629906e-03 3.333151e+00 -4.138385e-01
2.704079e-01 5.851205e-01 2.401817e-02 9.413862e-01 3.502481e+00 3.943101e-03 4.019586e+00 -1.099686e+00
3.019698e-01 7.118177e-01 5.072814e-02 1.002089e+00 3.337908e+00 3.406427e-03 3.756584e+00 -7.344215e-01
2.367784e-01 8.440640e-01 5.069485e-02 9.600012e-01 3.654689e+00 5.473578e-03 2.708673e+00 -6.879169e-01
2.785642e-01 8.998700e-01 5.731787e-02 8.955918e-01 3.255743e+00 7.714865e-03 3.214565e+00 -7.706786e-01
3.263683e-01 6.802173e-01 5.844973e-02 9.638676e-01 3.715226e+00 2.278152e-03 3.832906e+00 -4.338580e-01
3.098913e-01 6.811677e-01 4.108289e-02 9.132036e-01 3.237281e+00 7.492099e-03 3.257470e+00 -8.523320e-01
3.401759e-01 5.889872e-01 4.949059e-02 1.026728e+00 3.454855e+00 8.730907e-03 3.556783e+00 -8.935865e-01
2.694930e-01 8.855939e-01 5.980307e-02 9.160840e-01 3.075838e+00 5.961221e-03 3.868232e+00 -8.819185e-01
3.327117e-01 7.743808e-01 6.842959e-02 9.688471e-01 3.352080e+00 6.597454e-03 2.552152e+00 -6.113940e-01
2.473989e-01 7.548157e-01 4.596017e-02 9.473237e-01 3.391658e+00 6.259667e-03 1.995451e+00 -1.118019e+00
2.794854e-01 7.291160e-01 4.730978e-02 9.499464e-01 3.670024e+00 4.586253e-03 2.217268e+00 -5.476881e-01
3.249395e-01 5.562683e-01 4.409122e-02 9.606852e-01 3.711507e+00 3.535627e-03 2.903392e+00 -4.534870e-01
2.848389e-01 6.045534e-01 3.467877e-02 9.276061e-01 3.496567e+00 2.580635e-03 3.199772e+00 -8.176035e-01
2.600918e-01 6.587421e-01 5.025207e-02 9.937952e-01 3.522129e+00 9.062750e-04 2.752565e+00 -9.436335e-01
